TOPIC,TAXONOMY,TAXONOMY_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,ESTIMATE,ESTIMATE_LCI,ESTIMATE_UCI,YOY_CHANGE,CI_WIDTH
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,"Percent of population, crude",1,2019,10.5,9.7,11.4,,1.700000000000001
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,"Percent of population, crude",1,2020,9.1,8.2,10.1,-1.4000000000000004,1.9000000000000004
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,"Percent of population, crude",1,2021,8.7,7.9,9.6,-0.40000000000000036,1.6999999999999993
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,"Percent of population, crude",1,2022,8.3,7.5,9.2,-0.3999999999999986,1.6999999999999993
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,"Percent of population, crude",1,2023,8.7,7.9,9.6,0.3999999999999986,1.6999999999999993
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,"Percent of population, crude",1,2024,10.7,9.8,11.6,2.0,1.799999999999999
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,"Percent of population, crude",1,2019,10.9,10.0,11.9,,1.9000000000000004
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,"Percent of population, crude",1,2020,8.8,7.9,9.8,-2.0999999999999996,1.9000000000000004
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,"Percent of population, crude",1,2021,8.3,7.5,9.1,-0.5,1.5999999999999996
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,"Percent of population, crude",1,2022,9.4,8.5,10.3,1.0999999999999996,1.8000000000000007
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,"Percent of population, crude",1,2023,9.0,8.2,9.9,-0.40000000000000036,1.700000000000001
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,"Percent of population, crude",1,2024,10.8,9.9,11.7,1.8000000000000007,1.799999999999999
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,"Percent of population, crude",1,2019,10.3,9.5,11.1,,1.5999999999999996
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,"Percent of population, crude",1,2020,8.6,7.9,9.5,-1.700000000000001,1.5999999999999996
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,"Percent of population, crude",1,2021,8.4,7.7,9.2,-0.1999999999999993,1.4999999999999991
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,"Percent of population, crude",1,2022,7.1,6.4,7.8,-1.3000000000000007,1.3999999999999995
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,"Percent of population, crude",1,2023,7.8,7.0,8.6,0.7000000000000002,1.5999999999999996
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,"Percent of population, crude",1,2024,9.5,8.7,10.3,1.7000000000000002,1.6000000000000014
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,"Percent of population, crude",1,2019,3.4,3.0,4.0,,1.0
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,"Percent of population, crude",1,2020,2.7,2.3,3.1,-0.6999999999999997,0.8000000000000003
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,"Percent of population, crude",1,2021,2.5,2.1,2.9,-0.20000000000000018,0.7999999999999998
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,"Percent of population, crude",1,2022,2.7,2.3,3.2,0.20000000000000018,0.9000000000000004
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,"Percent of population, crude",1,2023,2.5,2.2,2.9,-0.20000000000000018,0.6999999999999997
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,"Percent of population, crude",1,2024,2.6,2.3,3.0,0.10000000000000009,0.7000000000000002
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,"Percent of population, crude",1,2019,10.6,9.9,11.3,,1.4000000000000004
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,"Percent of population, crude",1,2020,9.1,8.4,9.9,-1.5,1.5
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,"Percent of population, crude",1,2021,8.5,7.8,9.1,-0.5999999999999996,1.2999999999999998
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,"Percent of population, crude",1,2022,8.6,8.0,9.2,0.09999999999999964,1.1999999999999993
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,"Percent of population, crude",1,2023,8.8,8.1,9.4,0.20000000000000107,1.3000000000000007
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,"Percent of population, crude",1,2024,10.6,9.9,11.3,1.799999999999999,1.4000000000000004
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,45-64 years,7,7,"Percent of population, crude",1,2019,10.5,9.8,11.2,,1.3999999999999986
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,45-64 years,7,7,"Percent of population, crude",1,2020,8.5,7.9,9.3,-2.0,1.4000000000000004
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,45-64 years,7,7,"Percent of population, crude",1,2021,8.5,7.8,9.2,0.0,1.3999999999999995
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,45-64 years,7,7,"Percent of population, crude",1,2022,7.8,7.2,8.5,-0.7000000000000002,1.2999999999999998
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,45-64 years,7,7,"Percent of population, crude",1,2023,8.2,7.5,8.9,0.39999999999999947,1.4000000000000004
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,45-64 years,7,7,"Percent of population, crude",1,2024,10.0,9.3,10.8,1.8000000000000007,1.5
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,65-74 years,8,8,"Percent of population, crude",1,2019,4.1,3.4,4.8,,1.4
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,65-74 years,8,8,"Percent of population, crude",1,2020,3.2,2.7,3.8,-0.8999999999999995,1.0999999999999996
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,65-74 years,8,8,"Percent of population, crude",1,2021,3.0,2.4,3.6,-0.20000000000000018,1.2000000000000002
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,65-74 years,8,8,"Percent of population, crude",1,2022,3.6,2.9,4.3,0.6000000000000001,1.4
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,65-74 years,8,8,"Percent of population, crude",1,2023,3.3,2.8,3.9,-0.30000000000000027,1.1
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,65-74 years,8,8,"Percent of population, crude",1,2024,3.4,2.9,4.0,0.10000000000000009,1.1
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,75 years and older,9,9,"Percent of population, crude",1,2019,2.5,1.9,3.3,,1.4
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,75 years and older,9,9,"Percent of population, crude",1,2020,1.9,1.3,2.5,-0.6000000000000001,1.2
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,75 years and older,9,9,"Percent of population, crude",1,2021,1.7,1.2,2.3,-0.19999999999999996,1.0999999999999999
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,75 years and older,9,9,"Percent of population, crude",1,2022,1.5,1.0,2.0,-0.19999999999999996,1.0
Delayed getting medical care due to cost among adults,Healthcare access and quality,150,Demographic Characteristic,1,Age groups with 75 years and older,3,3,75 years and older,9,9,"Percent of population, crude",1,2023,1.3,0.9,1.8,-0.19999999999999996,0.9
