TOPIC,TAXONOMY,TAXONOMY_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,ESTIMATE,ESTIMATE_LCI,ESTIMATE_UCI,YOY_CHANGE,CI_WIDTH
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,"Percent of population, crude",1,2019,0.2,0.1,0.4,,0.30000000000000004
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,"Percent of population, crude",1,2020,0.3,0.1,0.6,0.09999999999999998,0.5
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,"Percent of population, crude",1,2021,0.4,0.2,0.6,0.10000000000000003,0.39999999999999997
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,"Percent of population, crude",1,2022,0.2,0.1,0.4,-0.2,0.30000000000000004
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,"Percent of population, crude",1,2023,0.3,0.1,0.4,0.09999999999999998,0.30000000000000004
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,18-34 years,2,2,"Percent of population, crude",1,2024,0.3,0.2,0.5,0.0,0.3
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,"Percent of population, crude",1,2019,0.9,0.6,1.3,,0.7000000000000001
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,"Percent of population, crude",1,2020,0.5,0.3,0.7,-0.4,0.39999999999999997
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,"Percent of population, crude",1,2021,0.6,0.4,0.9,0.09999999999999998,0.5
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,"Percent of population, crude",1,2022,0.7,0.5,1.0,0.09999999999999998,0.5
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,"Percent of population, crude",1,2023,0.8,0.6,1.1,0.10000000000000009,0.5000000000000001
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,"Percent of population, crude",1,2024,0.7,0.5,0.9,-0.10000000000000009,0.4
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,"Percent of population, crude",1,2019,1.9,1.6,2.3,,0.6999999999999997
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,"Percent of population, crude",1,2020,1.7,1.4,2.0,-0.19999999999999996,0.6000000000000001
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,"Percent of population, crude",1,2021,1.8,1.5,2.1,0.10000000000000009,0.6000000000000001
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,"Percent of population, crude",1,2022,1.7,1.3,2.0,-0.10000000000000009,0.7
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,"Percent of population, crude",1,2023,2.0,1.7,2.5,0.30000000000000004,0.8
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,"Percent of population, crude",1,2024,1.7,1.4,2.1,-0.30000000000000004,0.7000000000000002
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,"Percent of population, crude",1,2019,4.4,3.9,4.9,,1.0000000000000004
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,"Percent of population, crude",1,2020,3.9,3.5,4.4,-0.5000000000000004,0.9000000000000004
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,"Percent of population, crude",1,2021,3.7,3.2,4.2,-0.19999999999999973,1.0
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,"Percent of population, crude",1,2022,4.5,4.0,5.1,0.7999999999999998,1.0999999999999996
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,"Percent of population, crude",1,2023,3.8,3.3,4.2,-0.7000000000000002,0.9000000000000004
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,"Percent of population, crude",1,2024,4.1,3.6,4.6,0.2999999999999998,0.9999999999999996
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,"Percent of population, crude",1,2019,0.5,0.3,0.6,,0.3
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,"Percent of population, crude",1,2020,0.3,0.2,0.5,-0.2,0.3
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,"Percent of population, crude",1,2021,0.4,0.3,0.5,0.10000000000000003,0.2
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,"Percent of population, crude",1,2022,0.4,0.2,0.5,0.0,0.3
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,"Percent of population, crude",1,2023,0.4,0.3,0.6,0.0,0.3
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,"Percent of population, crude",1,2024,0.4,0.3,0.6,0.0,0.3
Angina/angina pectoris,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,45-64 years,7,7,"Percent of population, crude",1,2019,1.7,1.4,2.0,,0.6000000000000001
