TOPIC,TAXONOMY,CLASSIFICATION,GROUP,SUBGROUP,TIME_PERIOD,ESTIMATE,ESTIMATE_LCI,ESTIMATE_UCI,Barrier_Type
Delayed getting medical care due to cost among adults,Healthcare access and quality,Total,Total,18 years and older,2024,8.6,8.2,9.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,18-34 years,2024,10.7,9.8,11.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,35-49 years,2024,10.8,9.9,11.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2024,9.5,8.7,10.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,65 years and older,2024,2.6,2.3,3.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,18-44 years,2024,10.6,9.9,11.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,45-64 years,2024,10.0,9.3,10.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,65-74 years,2024,3.4,2.9,4.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 75 years and older,75 years and older,2024,1.6,1.2,2.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,With disability,2024,14.2,12.7,15.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,Without disability,2024,8.0,7.6,8.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,2024,11.6,10.9,12.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,2024,6.0,5.5,6.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Married,2024,7.5,7.0,8.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Divorced or separated,2024,10.9,9.7,12.2,Delayed Care
