Year,Barrier_Type,Demographic_Group,Highest_Subgroup,Highest_Rate,Lowest_Subgroup,Lowest_Rate,Disparity_Gap
2019,Delayed getting medical care due to cost,Age groups with 65 years and older,35-49 years,10.9,65 years and older,3.4,7.5
2019,Delayed getting medical care due to cost,Age groups with 75 years and older,18-44 years,10.6,75 years and older,2.5,8.1
2019,Delayed getting medical care due to cost,Disability status,With disability,15.1,Without disability,8.4,6.699999999999999
2019,Delayed getting medical care due to cost,Functioning difficulties status,With functioning difficulties,12.2,Without functioning difficulties,6.8,5.3999999999999995
2019,Delayed getting medical care due to cost,Marital status,Living with a partner,16.0,Widowed,5.0,11.0
2019,Delayed getting medical care due to cost,Nativity,Foreign-born,10.2,U.S.-born,8.7,1.5
2019,Delayed getting medical care due to cost,Race,American Indian and Alaska Native and White,14.6,Asian only,3.5,11.1
2019,Delayed getting medical care due to cost,Race and Hispanic origin,"All races, Hispanic, Mexican",13.5,"Other races, non-Hispanic",6.0,7.5
2019,Delayed getting medical care due to cost,Sex,Female,10.3,Male,7.8,2.500000000000001
2019,Delayed getting medical care due to cost,Sexual orientation,Bisexual,21.6,Gay or Lesbian,6.7,14.900000000000002
2019,Delayed getting medical care due to cost,Veteran status,Non-veteran,9.3,Veteran,5.5,3.8000000000000007
2019,Delayed getting medical care due to cost,Metropolitan statistical area,Non-MSA,9.8,Large MSA,8.5,1.3000000000000007
2019,Delayed getting medical care due to cost,Region,South,11.1,Northeast,6.3,4.8
2019,Delayed getting medical care due to cost,Social vulnerability,Medium social vulnerability,10.0,Little to no social vulnerability,6.7,3.3
2019,Delayed getting medical care due to cost,Urbanicity,Nonmetropolitan,9.8,Large fringe metro,7.9,1.9000000000000004
2019,Delayed getting medical care due to cost,Education,No high school diploma or GED,13.9,College degree or higher,5.2,8.7
2019,Delayed getting medical care due to cost,Employment status,Employed - Part-time,9.8,Not employed - Has never worked,6.4,3.4000000000000004
2019,Delayed getting medical care due to cost,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,5.3,Private,2.2,3.0999999999999996
2019,Delayed getting medical care due to cost,Health insurance coverage: Younger than 65 years,Uninsured,32.1,Private,6.3,25.8
2019,Delayed getting medical care due to cost,Poverty level,<100% FPL,16.0,≥200% FPL,6.4,9.6
2019,No medical care due to cost,Age groups with 65 years and older,35-49 years,10.0,65 years and older,3.4,6.6
2019,No medical care due to cost,Age groups with 75 years and older,45-64 years,9.9,75 years and older,2.6,7.300000000000001
2019,No medical care due to cost,Disability status,With disability,14.8,Without disability,7.6,7.200000000000001
2019,No medical care due to cost,Functioning difficulties status,With functioning difficulties,11.5,Without functioning difficulties,6.1,5.4
2019,No medical care due to cost,Marital status,Living with a partner,14.6,Widowed,5.4,9.2
2019,No medical care due to cost,Nativity,Foreign-born,10.0,U.S.-born,7.8,2.2
2019,No medical care due to cost,Race,Black and White,14.1,Asian only,3.6,10.5
2019,No medical care due to cost,Race and Hispanic origin,"All races, Hispanic",12.2,"Other races, non-Hispanic",5.5,6.699999999999999
2019,No medical care due to cost,Sex,Female,9.5,Male,6.9,2.5999999999999996
2019,No medical care due to cost,Sexual orientation,Bisexual,19.9,Gay or Lesbian,6.0,13.899999999999999
2019,No medical care due to cost,Veteran status,Non-veteran,8.5,Veteran,5.1,3.4000000000000004
2019,No medical care due to cost,Metropolitan statistical area,Non-MSA,9.4,Large MSA,7.8,1.6000000000000005
2019,No medical care due to cost,Region,South,10.7,Northeast,5.2,5.499999999999999
2019,No medical care due to cost,Social vulnerability,High social vulnerability,9.7,Little to no social vulnerability,5.5,4.199999999999999
2019,No medical care due to cost,Urbanicity,Nonmetropolitan,9.4,Large fringe metro,7.2,2.2
2019,No medical care due to cost,Education,No high school diploma or GED,13.6,College degree or higher,4.3,9.3
2019,No medical care due to cost,Employment status,Employed - Part-time,8.9,Not employed - Has never worked,7.0,1.9000000000000004
2019,No medical care due to cost,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,6.2,Private,1.7,4.5
2019,No medical care due to cost,Health insurance coverage: Younger than 65 years,Uninsured,30.2,Private,5.4,24.799999999999997
2019,No medical care due to cost,Poverty level,<100% FPL,15.8,≥200% FPL,5.5,10.3
2019,No mental health care due to cost,Age groups with 65 years and older,18-34 years,6.6,65 years and older,1.3,5.3
2019,No mental health care due to cost,Age groups with 75 years and older,18-44 years,6.2,75 years and older,0.7,5.5
2019,No mental health care due to cost,Disability status,With disability,7.1,Without disability,4.1,3.0
2019,No mental health care due to cost,Functioning difficulties status,With functioning difficulties,6.3,Without functioning difficulties,3.0,3.3
2019,No mental health care due to cost,Marital status,Living with a partner,7.0,Widowed,2.5,4.5
2019,No mental health care due to cost,Nativity,U.S.-born,4.6,Foreign-born,3.1,1.4999999999999996
2019,No mental health care due to cost,Race,American Indian and Alaska Native and White,8.6,Native Hawaiian or Other Pacific Islander only,0.0,8.6
2019,No mental health care due to cost,Race and Hispanic origin,"All races, Hispanic",4.7,"Other races, non-Hispanic",3.5,1.2000000000000002
2019,No mental health care due to cost,Sex,Female,6.0,Male,2.6,3.4
2019,No mental health care due to cost,Sexual orientation,Bisexual,22.1,Straight,3.9,18.200000000000003
2019,No mental health care due to cost,Veteran status,Non-veteran,4.6,Veteran,2.0,2.5999999999999996
2019,No mental health care due to cost,Metropolitan statistical area,Small MSA,4.6,Non-MSA,3.6,0.9999999999999996
2019,No mental health care due to cost,Region,Midwest,4.7,Northeast,3.5,1.2000000000000002
2019,No mental health care due to cost,Social vulnerability,Low social vulnerability,4.7,Little to no social vulnerability,3.8,0.9000000000000004
