Year,Model,Classification,Subgroup,Actual_2024,Predicted,Change
2025,Gradient Boosting,Demographic,Bisexual adults,19.7,21.8,2.1
2025,Gradient Boosting,Demographic,American Indian/Alaska Native,10.3,11.6,1.3
2025,Gradient Boosting,Demographic,"Black only, non-Hispanic",8.7,9.8,1.1
2025,Gradient Boosting,Demographic,Hispanic adults,9.5,10.4,0.9
2025,Gradient Boosting,Demographic,Living with a partner,13.1,11.9,-1.2
2025,Gradient Boosting,Socioeconomic,High social vulnerability,8.8,10.1,1.3
2025,Gradient Boosting,Socioeconomic,Uninsured,26.8,28.1,1.3
2025,Gradient Boosting,Socioeconomic,Living with a partner,10.4,11.5,1.1
2025,Gradient Boosting,Socioeconomic,Some college,9.1,8.6,-0.5
2025,Gradient Boosting,Socioeconomic,Married,6.7,5.9,-0.8
2025,Gradient Boosting,Geographic,South region,9.2,10.1,0.9
2025,Gradient Boosting,Geographic,West region,8.5,9.2,0.7
2025,Gradient Boosting,Geographic,Midwest region,7.8,8.3,0.5
2025,Gradient Boosting,Geographic,Northeast region,7.1,7.5,0.4
2025,Gradient Boosting,Geographic,Rural areas,8.6,9.0,0.4
2026,RF + XGBoost Ensemble,Demographic,Bisexual adults,23.1,25.8,2.7
2026,RF + XGBoost Ensemble,Demographic,American Indian/Alaska Native,13.8,15.9,2.1
2026,RF + XGBoost Ensemble,Demographic,Native Hawaiian/Pacific Islander,14.6,16.4,1.8
2026,RF + XGBoost Ensemble,Demographic,Hispanic adults,10.5,11.9,1.4
2026,RF + XGBoost Ensemble,Demographic,Gay or Lesbian adults,10.4,11.6,1.2
2026,RF + XGBoost Ensemble,Socioeconomic,Below 100% FPL,13.1,15.2,2.1
2026,RF + XGBoost Ensemble,Socioeconomic,No high school diploma,12.4,14.1,1.7
2026,RF + XGBoost Ensemble,Socioeconomic,100-200% FPL,11.8,13.2,1.4
2026,RF + XGBoost Ensemble,Socioeconomic,"Some college, no degree",9.8,11.0,1.2
2026,RF + XGBoost Ensemble,Socioeconomic,Unemployed,11.5,12.6,1.1
2026,RF + XGBoost Ensemble,Geographic,South region,9.8,11.3,1.5
2026,RF + XGBoost Ensemble,Geographic,West region,8.9,10.2,1.3
2026,RF + XGBoost Ensemble,Geographic,Midwest region,8.2,9.3,1.1
2026,RF + XGBoost Ensemble,Geographic,Northeast region,7.5,8.4,0.9
2026,RF + XGBoost Ensemble,Geographic,Rural areas,9.1,10.0,0.9
