TOPIC,TAXONOMY,CLASSIFICATION,GROUP,SUBGROUP,TIME_PERIOD,ESTIMATE,ESTIMATE_LCI,ESTIMATE_UCI,Barrier_Type
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,18-34 years,2019,10.5,9.7,11.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,18-34 years,2020,9.1,8.2,10.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,18-34 years,2021,8.7,7.9,9.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,18-34 years,2022,8.3,7.5,9.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,18-34 years,2023,8.7,7.9,9.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,18-34 years,2024,10.7,9.8,11.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,35-49 years,2019,10.9,10.0,11.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,35-49 years,2020,8.8,7.9,9.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,35-49 years,2021,8.3,7.5,9.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,35-49 years,2022,9.4,8.5,10.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,35-49 years,2023,9.0,8.2,9.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,35-49 years,2024,10.8,9.9,11.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2019,10.3,9.5,11.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2020,8.6,7.9,9.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2021,8.4,7.7,9.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2022,7.1,6.4,7.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2023,7.8,7.0,8.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,50-64 years,2024,9.5,8.7,10.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,65 years and older,2019,3.4,3.0,4.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Age groups with 65 years and older,65 years and older,2020,2.7,2.3,3.1,Delayed Care
