Year,Barrier_Type,Mean_Rate,Median_Rate,Max_Rate,Min_Rate,Std_Dev,Num_Subgroups
2019,Delayed getting medical care due to cost,9.389473684210527,9.1,32.1,2.2,4.375555704056143,76
2019,No medical care due to cost,8.776315789473685,8.3,30.2,1.7,4.158392908197513,76
2019,No mental health care due to cost,4.447368421052632,4.3,22.1,0.0,2.738879268811024,76
2019,Skipped medication as prescribed to save money,10.048,9.7,29.0,2.1,4.100473275255075,75
2020,Delayed getting medical care due to cost,7.771999999999999,7.5,26.2,1.5,3.6019349154496303,75
2020,No medical care due to cost,6.995945945945946,6.65,23.5,1.2,3.3369430350181197,74
2020,No mental health care due to cost,4.298648648648649,4.3,24.2,0.0,2.962297018917215,74
2020,Skipped medication as prescribed to save money,9.022666666666664,8.3,30.6,2.0,4.056578685373998,75
2021,Delayed getting medical care due to cost,7.5298701298701305,7.2,22.2,1.5,3.441735522082494,77
2021,No medical care due to cost,6.507792207792208,6.1,20.7,1.2,3.1373709339679463,77
2021,No mental health care due to cost,4.266666666666667,4.2,24.6,0.0,3.1743623889809083,75
2021,Skipped medication as prescribed to save money,7.590789473684208,6.8,22.9,1.6,3.597153601820156,76
2022,Delayed getting medical care due to cost,7.264864864864865,6.9,24.8,1.5,3.31973890838489,74
2022,No medical care due to cost,6.558108108108108,6.35,22.0,1.4,2.9694336324864334,74
2022,No mental health care due to cost,4.989041095890411,5.0,20.7,0.7,2.8131912308027425,73
2022,Skipped medication as prescribed to save money,7.383561643835616,6.9,20.3,2.1,2.9670886262944944,73
2023,Delayed getting medical care due to cost,7.605333333333333,7.2,24.7,1.2,3.7957975814417817,75
2023,No medical care due to cost,6.718666666666667,6.5,22.6,1.1,3.2499768536944305,75
2023,No mental health care due to cost,5.546666666666667,5.5,26.3,0.3,3.2384653244488595,75
2023,Skipped medication as prescribed to save money,8.296000000000001,7.8,25.9,2.2,3.3808458880757812,75
2024,Delayed getting medical care due to cost,8.675324675324676,8.7,26.8,1.6,3.8804895189082522,77
2024,No medical care due to cost,7.671428571428572,7.4,25.0,1.2,3.6474164303711407,77
2024,No mental health care due to cost,5.9407894736842115,5.8,28.5,0.5,3.754683391235677,76
2024,Skipped medication as prescribed to save money,8.24155844155844,8.1,25.8,1.4,3.7772989043742635,77
